gene_name	array_data_file_names	composite_element_ref	protein_name	qc_score	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	website
CDKN1B	p27_pT157-R-C_GBL1112972.txt	p27_pT157-R-C	p27_pT157	0.9588889	Use with Caution	Rabbit	R&amp;D	AF1555	http://www.rndsystems.com/Products/AF1555
CDKN1B	p27_pT198-R-V_GBL1112939.txt	p27_pT198-R-V	p27_pT198	0.9585155	Validated	Rabbit	Abcam	ab64949	http://www.abcam.com/p27-kip-1-phospho-t198-antibody-ab64949.html
MAPK14	p38-R-V_GBL1112783.txt	p38-R-V	p38_MAPK	0.9738049	Validated	Rabbit	CST	9212	http://www.cellsignal.com/products/9212.html
MAPK14	p38_pT180_Y182-R-V_GBL1112784.txt	p38_pT180_Y182-R-V	p38_pT180_Y182	0.969755	Validated	Rabbit	CST	9211	http://www.cellsignal.com/products/9211.html
TP53	p53-R-E_GBL1112785.txt	p53-R-E	p53	0.9427288	Under Evaluation	Rabbit	CST	9282	http://www.cellsignal.com/products/9282.html
SQSTM1	p62-LCK-ligand-M-C_GBL1112929.txt	p62-LCK-ligand-M-C	p62 LCK ligand	0.9522044	Under Evaluation	Mouse	BD Transduction Lab	610833	http://www.bdbiosciences.com/ptProduct.jsp?prodId=32650&amp;key=610833&amp;param=search&amp;mterms=true&amp;from=dTable
RPS6KB1	p70S6K-R-V_GBL1112786.txt	p70S6K-R-V	p70S6K	0.9567273	Validated	Rabbit	Epitomics	1494-1	http://www.epitomics.com/products/product_info/321/p70-antibody-1494-1.html
RPS6KB1	p70S6K_pT389-R-V_GBL1112787.txt	p70S6K_pT389-R-V	p70S6K_pT389	0.9688696	Validated	Rabbit	CST	9205	http://www.cellsignal.com/products/9205.html
RPS6KA1	p90RSK-R-C_GBL1112815.txt	p90RSK-R-C	p90RSK	0.9731009	Use with Caution	Rabbit	CST	9347	http://www.cellsignal.com/products/9347.html
RPS6KA1	p90RSK_pT359_S363-R-C_GBL1112817.txt	p90RSK_pT359_S363-R-C	p90RSK_pT359_S363	0.9591865	Use with Caution	Rabbit	CST	9344	http://www.cellsignal.com/products/9344.html
SERPINE1	PAI-1-M-E_GBL1112902.txt	PAI-1-M-E	PAI-1	0.9558295	Under Evaluation	Mouse	BD Biosciences	612024	http://www.bdbiosciences.com/ptProduct.jsp?prodId=106729&amp;key=612024&amp;param=search&amp;mterms=true&amp;from=dTable
PXN	Paxillin-R-C_GBL1112788.txt	Paxillin-R-C	Paxillin	0.9721674	Use with Caution	Rabbit	Epitomics	1500-1	http://www.epitomics.com/products/product_info/334/Paxillin-antibody-1500-1.html
PCNA	PCNA-M-C_GBL1112975.txt	PCNA-M-C	PCNA	0.9330808	Use with Caution	Mouse	Abcam	ab29	http://www.abcam.com/pcna-antibody-pc10-proliferation-marker-ab29.html
PDCD4	PDCD4-R-C_GBL1112825.txt	PDCD4-R-C	PDCD4	0.9680411	Use with Caution	Rabbit	Rockland	600-401-965	http://www.rockland-inc.com/store/Apoptosis-Antibodies-600-401-965-O4L_18137.aspx
PDK1	PDK1-R-V_GBL1112790.txt	PDK1-R-V	PDK1	0.9710018	Validated	Rabbit	CST	3062	http://www.cellsignal.com/products/3062.html
PDK1	PDK1_pS241-R-V_GBL1112791.txt	PDK1_pS241-R-V	PDK1_pS241	0.9752059	Validated	Rabbit	CST	3061	http://www.cellsignal.com/products/3061.html
PEA15	PEA15-R-V_GBL1112849.txt	PEA15-R-V	Pea-15	0.9735796	Validated	Rabbit	CST	2780	http://www.cellsignal.com/products/2780.html
PEA15	PEA15_pS116-R-V_GBL1112850.txt	PEA15_pS116-R-V	PEA15_pS116	0.9618809	Validated	Rabbit	Invitrogen	44-836G	http://products.invitrogen.com/ivgn/product/44836G?ICID=search-44836g
